,n_neighbour,min_d,spread,clustering_score
0,5,0.05,0.25,-0.02966611
1,5,0.05,0.5,-0.03249086
2,5,0.05,1.0,-0.029370021
3,5,0.1,0.25,-0.011547141
4,5,0.1,0.5,-0.020189
5,5,0.1,1.0,-0.026296254
6,5,0.25,0.25,-0.0069328328
7,5,0.25,0.5,-0.007930172
8,5,0.25,1.0,-0.016592035
9,10,0.05,0.25,-0.0023608496
10,10,0.05,0.5,-0.0076294593
11,10,0.05,1.0,-0.016016308
12,10,0.1,0.25,0.0029534267
13,10,0.1,0.5,-0.0013058886
14,10,0.1,1.0,-0.0123597365
15,10,0.25,0.25,0.0040663667
16,10,0.25,0.5,0.003645425
17,10,0.25,1.0,-0.006396754
18,15,0.05,0.25,0.0012792558
19,15,0.05,0.5,-0.0041666087
20,15,0.05,1.0,-0.009349892
21,15,0.1,0.25,0.00568479
22,15,0.1,0.5,0.0008111755
23,15,0.1,1.0,-0.009034007
24,15,0.25,0.25,0.007605355
25,15,0.25,0.5,0.0070648175
26,15,0.25,1.0,0.0015252475
27,30,0.05,0.25,0.004288738
28,30,0.05,0.5,-0.0005101289
29,30,0.05,1.0,-0.0045426176
30,30,0.1,0.25,0.007949152
31,30,0.1,0.5,0.003528001
32,30,0.1,1.0,-0.00078713725
33,30,0.25,0.25,0.008782126
34,30,0.25,0.5,0.008218095
35,30,0.25,1.0,0.00599278
36,50,0.05,0.25,0.0022603115
37,50,0.05,0.5,0.0007197816
38,50,0.05,1.0,-0.0015221083
39,50,0.1,0.25,0.006428536
40,50,0.1,0.5,0.0052158805
41,50,0.1,1.0,0.0017920799
42,50,0.25,0.25,0.008376272
43,50,0.25,0.5,0.010590558
44,50,0.25,1.0,0.0074830195
